# Time-averaged data for fix E1
# TimeStep c_PE c_Tav c_T1 c_Tm
20000 -17800.1 289.658 299.367 300.673
40000 -17800.6 289.406 298.889 300.555
60000 -17800.3 289.561 299.049 300.717
80000 -17800.3 289.454 299.573 300.186
100000 -17800.7 289.231 298.939 300.222
120000 -17800.7 289.364 299.405 300.141
140000 -17800.8 289.41 299.496 300.16
160000 -17800.6 289.461 299.69 300.12
180000 -17800.4 289.592 299.734 300.317
200000 -17800.4 289.568 299.768 300.252
220000 -17800.5 289.613 299.746 300.345
240000 -17800.6 289.64 299.962 300.249
260000 -17800.7 289.65 300.051 300.207
280000 -17800.6 289.695 300.109 300.245
300000 -17800.6 289.676 300.209 300.148
320000 -17800.6 289.611 300.178 300.056
340000 -17800.5 289.627 300.199 300.069
360000 -17800.6 289.614 300.139 300.086
380000 -17800.6 289.622 300.076 300.142
400000 -17800.7 289.501 299.932 300.028
420000 -17800.7 289.456 299.922 299.958
440000 -17800.8 289.422 299.71 300.04
460000 -17800.9 289.402 299.625 300.062
480000 -17800.9 289.394 299.529 300.111
500000 -17800.9 289.425 299.577 300.132
520000 -17800.9 289.435 299.637 300.11
540000 -17800.8 289.419 299.701 300.04
560000 -17800.8 289.444 299.777 300.034
580000 -17800.8 289.495 299.871 300.059
600000 -17800.8 289.475 299.856 300.034
620000 -17800.9 289.456 299.858 300.001
640000 -17800.9 289.409 299.842 299.93
660000 -17801 289.384 299.847 299.884
680000 -17801.1 289.398 299.848 299.907
700000 -17801.2 289.418 299.881 299.92
720000 -17801.2 289.435 299.858 299.964
740000 -17801.3 289.445 299.864 299.977
760000 -17801.3 289.42 299.839 299.952
780000 -17801.3 289.408 299.863 299.914
800000 -17801.4 289.402 299.883 299.89
820000 -17801.4 289.398 299.878 299.887
840000 -17801.4 289.4 299.881 299.889
860000 -17801.3 289.402 299.878 299.894
880000 -17801.3 289.382 299.869 299.866
900000 -17801.2 289.397 299.828 299.918
920000 -17801.2 289.364 299.799 299.882
940000 -17801.7 289.409 299.875 299.908
960000 -17803.7 289.403 299.894 299.885
980000 -17805.7 289.454 299.92 299.957
1000000 -17807.5 289.487 299.982 299.971
1020000 -17809.4 289.496 300.016 299.964
1040000 -17811.1 289.463 299.972 299.938
1060000 -17812.8 289.434 299.971 299.888
1080000 -17814.4 289.425 300.007 299.848
1100000 -17816 289.41 299.969 299.847
1120000 -17817.5 289.394 299.951 299.832
1140000 -17818.9 289.405 299.93 299.865
1160000 -17820.3 289.371 299.87 299.845
1180000 -17821.7 289.376 299.88 299.847
1200000 -17823 289.394 299.889 299.873
1220000 -17824.3 289.411 299.924 299.879
1240000 -17825.5 289.42 299.949 299.877
1260000 -17826.7 289.413 299.958 299.86
1280000 -17827.9 289.421 299.96 299.871
1300000 -17829.1 289.411 299.923 299.88
1320000 -17830.2 289.392 299.909 299.857
1340000 -17831.3 289.385 299.891 299.856
1360000 -17832.4 289.385 299.889 299.857
1380000 -17833.4 289.383 299.882 299.859
1400000 -17834.4 289.398 299.92 299.859
1420000 -17835.4 289.395 299.874 299.885
1440000 -17836.3 289.393 299.842 299.903
1460000 -17837.2 289.401 299.888 299.886
1480000 -17838.1 289.397 299.869 299.891
1500000 -17838.9 289.416 299.881 299.916
