# Time-averaged data for fix E1
# TimeStep c_PE c_Tav c_T1 c_Tm
10000 -63599.7 301.405 276.587 305.911
20000 -63598 301.766 278.7 306.126
30000 -63595.1 302.447 281.357 306.443
40000 -63593.6 303.125 282.089 307.183
50000 -63594.2 303.939 283.44 307.955
60000 -63593.6 304.618 284.445 308.636
70000 -63592.8 305.18 285.003 309.201
80000 -63592 305.9 287.117 309.708
90000 -63591.2 306.63 289.171 310.256
100000 -63590.6 307.254 291.804 310.546
110000 -63589.7 308.028 294.36 311.026
120000 -63588.8 308.83 296.398 311.625
130000 -63587.8 309.511 298.187 312.113
140000 -63587.2 310.234 300.659 312.603
150000 -63586.4 311.056 302.24 313.322
160000 -63585.4 311.87 304.12 313.987
170000 -63584.3 312.543 305.239 314.603
180000 -63583.7 313.17 306.381 315.159
190000 -63582.4 313.99 308.058 315.868
200000 -63581.4 314.79 310.055 316.497
210000 -63580.5 315.47 312.019 316.998
220000 -63579.5 316.208 313.745 317.575
230000 -63578.5 316.96 315.886 318.116
240000 -63577.6 317.718 317.293 318.757
250000 -63576.7 318.416 318.445 319.384
260000 -63575.8 319.183 319.541 320.098
270000 -63574.8 319.936 320.811 320.769
280000 -63573.5 320.707 322.295 321.423
290000 -63572.5 321.443 323.95 322.004
300000 -63571.4 322.213 325.945 322.583
310000 -63570.4 322.989 327.918 323.17
320000 -63569.6 323.705 329.95 323.701
330000 -63568.7 324.471 331.682 324.315
340000 -63567.7 325.22 333.558 324.903
350000 -63566.9 325.931 335.031 325.497
360000 -63565.7 326.725 336.375 326.205
370000 -63564.8 327.473 337.493 326.899
380000 -63563.6 328.193 338.696 327.551
390000 -63562.5 328.938 339.508 328.285
400000 -63561.5 329.684 340.107 329.057
410000 -63560.5 330.463 340.873 329.836
420000 -63559.7 331.224 341.514 330.621
430000 -63558.8 331.936 342.108 331.355
440000 -63557.8 332.685 342.433 332.181
450000 -63556.7 333.453 342.449 333.065
460000 -63555.6 334.2 342.681 333.888
470000 -63554.6 334.944 342.646 334.744
480000 -63553.5 335.72 342.663 335.643
490000 -63552.3 336.465 342.556 336.525
500000 -63551 337.248 342.595 337.427
510000 -63550 337.966 342.491 338.275
520000 -63548.8 338.726 342.699 339.119
530000 -63547.8 339.49 342.941 339.971
540000 -63546.7 340.241 343.449 340.758
550000 -63545.3 340.973 344.136 341.501
560000 -63544.2 341.722 344.945 342.242
570000 -63543 342.493 345.766 342.998
580000 -63542 343.221 346.477 343.726
590000 -63540.9 343.99 347.081 344.519
600000 -63539.9 344.748 347.804 345.287
610000 -63538.8 345.519 348.471 346.074
620000 -63537.6 346.295 348.882 346.909
630000 -63536.5 347.052 349.434 347.694
640000 -63535.5 347.791 350.126 348.446
650000 -63534.4 348.559 350.966 349.21
660000 -63533.2 349.297 351.755 349.936
670000 -63531.9 350.052 352.467 350.697
680000 -63530.7 350.809 352.834 351.509
690000 -63529.6 351.544 353.245 352.295
700000 -63528.4 352.278 353.519 353.101
710000 -63527.4 353.015 353.85 353.903
720000 -63526.3 353.767 354.164 354.721
730000 -63525.1 354.524 354.471 355.553
740000 -63524 355.276 354.795 356.376
750000 -63522.9 356.056 355.127 357.222
760000 -63521.8 356.82 355.425 358.059
770000 -63520.6 357.559 355.754 358.866
780000 -63519.4 358.304 356.16 359.666
790000 -63518.2 359.066 356.687 360.469
800000 -63517.3 359.842 357.051 361.309
810000 -63517 360.595 357.171 362.163
820000 -63516.6 361.36 357.348 363.027
830000 -63516.2 362.117 357.505 363.878
840000 -63515.7 362.862 357.78 364.7
850000 -63515 363.647 358.135 365.557
860000 -63514.6 364.387 358.373 366.376
870000 -63514.2 365.145 358.748 367.195
880000 -63513.7 365.892 359.027 368.014
890000 -63513.2 366.635 359.466 368.809
900000 -63512.7 367.388 359.875 369.617
910000 -63512.2 368.135 360.17 370.437
920000 -63511.6 368.907 360.524 371.275
930000 -63511.1 369.643 360.912 372.066
940000 -63510.5 370.403 361.423 372.87
950000 -63509.9 371.162 361.789 373.691
960000 -63509.2 371.921 362.206 374.506
970000 -63508.7 372.647 362.555 375.29
980000 -63508.1 373.396 362.875 376.102
990000 -63507.6 374.13 363.16 376.911
1000000 -63507.1 374.875 363.454 377.725
1010000 -63506.5 375.606 363.952 378.494
1020000 -63506 376.361 364.502 379.281
1030000 -63505.4 377.126 365.207 380.057
1040000 -63504.8 377.886 365.754 380.855
1050000 -63504.1 378.629 366.38 381.619
1060000 -63503.5 379.374 366.993 382.386
1070000 -63502.8 380.117 367.524 383.163
1080000 -63502.2 380.864 368.02 383.949
1090000 -63501.6 381.634 368.548 384.762
1100000 -63500.9 382.357 369.095 385.513
1110000 -63500.1 383.124 369.583 386.323
1120000 -63499.4 383.874 370.106 387.11
1130000 -63498.6 384.619 370.745 387.875
1140000 -63497.7 385.379 371.406 388.656
1150000 -63497 386.136 372.127 389.424
1160000 -63496.2 386.908 372.885 390.205
1170000 -63495.5 387.66 373.54 390.979
1180000 -63494.7 388.399 374.16 391.738
1190000 -63493.9 389.154 374.748 392.52
1200000 -63493.3 389.894 375.251 393.299
1210000 -63492.5 390.636 375.772 394.076
1220000 -63491.9 391.374 376.406 394.833
1230000 -63491.3 392.113 377.097 395.581
1240000 -63491.3 392.858 377.65 396.358
1250000 -63491.1 393.588 378.351 397.096
1260000 -63490.9 394.347 378.937 397.884
1270000 -63490.6 395.112 379.523 398.678
1280000 -63490.3 395.88 380.177 399.47
1290000 -63490 396.633 380.751 400.25
1300000 -63489.8 397.379 381.434 401.011
1310000 -63489.6 398.129 382.269 401.745
1320000 -63489.4 398.876 383.167 402.472
1330000 -63489.3 399.627 384.066 403.203
1340000 -63489.1 400.383 384.992 403.94
1350000 -63488.8 401.153 385.993 404.671
1360000 -63488.5 401.908 387.078 405.379
1370000 -63488.4 402.65 388.22 406.064
1380000 -63488.2 403.435 389.367 406.794
1390000 -63487.9 404.188 390.59 407.478
1400000 -63487.5 404.954 391.789 408.175
1410000 -63487.1 405.701 393.026 408.85
1420000 -63486.8 406.45 394.229 409.531
1430000 -63486.4 407.205 395.31 410.233
1440000 -63486 407.965 396.488 410.93
1450000 -63485.6 408.744 397.755 411.632
1460000 -63485.2 409.493 398.956 412.305
1470000 -63484.7 410.242 400.349 412.955
1480000 -63484.4 410.987 401.576 413.628
1490000 -63483.9 411.748 402.69 414.334
1500000 -63483.5 412.5 403.684 415.046
1510000 -63483 413.244 404.715 415.746
1520000 -63482.5 413.99 405.661 416.461
1530000 -63482 414.752 406.661 417.189
